,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime,depth_m,id,dep_lat,dep_lon
0,0,0.787353515625,21.930404092642164,9822,22.003152119979063,9873,8517,17.19049315068493,0.157628325,4,2021-08-02 22:00:00,7.81934211104154,9010,47.687823,-122.258931
1,3600,0.78643798828125,22.791223621113147,9453,22.991337190409126,9459,8517,16.179287671232878,0.15166401,1,2021-08-02 23:00:00,7.810249852772888,9010,47.687823,-122.258931
2,7200,0.78704833984375,23.760760218529185,9056,23.96764839560001,9069,8517,12.602616438356163,0.098496402,2,2021-08-03 00:00:00,7.816311358285323,9010,47.687823,-122.258931
3,10800,0.78643798828125,23.673373864145447,9091,23.901107805682955,9095,8517,6.77882191780822,0.251012457,2,2021-08-03 01:00:00,7.810249852772888,9010,47.687823,-122.258931
4,14400,0.7861328125,23.84350294144997,9023,24.05756099672135,9034,8517,2.528013698630137,0.129851658,3,2021-08-03 02:00:00,7.8072191000166695,9010,47.687823,-122.258931
5,18000,0.78643798828125,23.828433428183757,9029,24.070437549734436,9029,8517,0.6366849315068492,0.128658795,2,2021-08-03 03:00:00,7.810249852772888,9010,47.687823,-122.258931
6,21600,0.7867431640625,23.73075630225452,9068,23.95995972054169,9072,8517,0.0,0.106335216,3,2021-08-03 04:00:00,7.813280605529105,9010,47.687823,-122.258931
7,25200,0.78704833984375,23.65096445721764,9100,23.88833600328661,9100,8517,0.0,0.103779081,3,2021-08-03 05:00:00,7.816311358285323,9010,47.687823,-122.258931
8,28800,0.78582763671875,23.6385255932978,9105,23.878124228021647,9104,8517,0.0,0.10190458200000001,2,2021-08-03 06:00:00,7.804188347260452,9010,47.687823,-122.258931
9,32400,0.7867431640625,23.576446705977617,9130,23.806782431771637,9132,8517,0.0,0.100030083,2,2021-08-03 07:00:00,7.813280605529105,9010,47.687823,-122.258931
10,36000,0.7867431640625,23.484921180524964,9167,23.725548805419464,9164,8517,0.0,0.112640349,2,2021-08-03 08:00:00,7.813280605529105,9010,47.687823,-122.258931
11,39600,0.78643798828125,23.381531255344328,9209,23.609331234155036,9210,8517,0.0,0.095769858,2,2021-08-03 09:00:00,7.810249852772888,9010,47.687823,-122.258931
12,43200,0.78643798828125,23.317794301154947,9235,23.548954160634025,9234,8517,0.0,0.100882128,2,2021-08-03 10:00:00,7.810249852772888,9010,47.687823,-122.258931
13,46800,0.78643798828125,23.18606221637623,9289,23.329067941293545,9322,8517,0.0,0.096451494,2,2021-08-03 11:00:00,7.810249852772888,9010,47.687823,-122.258931
14,50400,0.78704833984375,23.08420000051177,9331,23.24473467668986,9356,8517,0.0,0.171261045,2,2021-08-03 12:00:00,7.816311358285323,9010,47.687823,-122.258931
15,54000,0.787353515625,23.096299295546544,9326,23.286858265594333,9339,8517,0.07490410958904109,0.131726157,2,2021-08-03 13:00:00,7.81934211104154,9010,47.687823,-122.258931
