8/26/2016,19:33:35,5470,5470
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5471,5471
8/26/2016,19:33:35,5472,5472
8/26/2016,19:33:37,5440,5470
8/26/2016,19:33:39,5441,5470
8/26/2016,19:33:41,5441,5470
8/26/2016,19:33:43,5441,5470
8/26/2016,19:33:45,5441,5470
8/26/2016,19:33:47,5441,5470
8/26/2016,19:33:49,5441,5470
8/26/2016,19:33:51,5441,5470
8/26/2016,19:33:53,5441,5470
8/26/2016,19:33:55,5441,5470
8/26/2016,19:33:57,5441,5470
8/26/2016,19:33:59,5441,5470
8/26/2016,19:34:1,5441,5470
8/26/2016,19:34:3,5440,5470
8/26/2016,19:34:5,5440,5470
8/26/2016,19:34:7,5440,5470
8/26/2016,21:9:15,5498,5498
8/26/2016,21:9:17,32767,5498
8/26/2016,21:9:15,5498,5498
8/26/2016,21:9:17,32767,5498
8/26/2016,21:9:19,32767,5498
8/26/2016,21:9:21,32767,5498
8/26/2016,21:9:23,32767,5498
8/26/2016,21:51:21,5498,5498
8/26/2016,21:51:21,5498,5498
8/26/2016,21:51:23,5468,5498
8/26/2016,21:51:25,5465,5498
8/26/2016,21:51:27,5461,5498
8/26/2016,21:51:29,5458,5498
8/26/2016,21:51:31,5455,5498
8/26/2016,21:51:33,5453,5498
8/26/2016,21:51:35,5450,5498
8/26/2016,21:51:37,5447,5498
8/26/2016,21:51:39,5444,5498
8/26/2016,21:51:41,5441,5498
8/26/2016,21:51:43,5438,5498
8/26/2016,21:51:45,5435,5498
8/26/2016,21:51:47,5432,5498
8/26/2016,21:51:49,5428,5498
8/26/2016,21:51:51,5426,5498
8/26/2016,21:51:53,5423,5498
8/26/2016,21:51:55,5420,5498
8/26/2016,21:51:57,5417,5498
8/26/2016,21:51:59,5414,5498
8/26/2016,21:52:1,5411,5498
8/26/2016,21:52:3,5408,5498
8/26/2016,22:38:17,5498,5498
8/26/2016,22:38:19,4820,5498
8/26/2016,22:38:21,4816,5498
8/26/2016,22:38:23,4812,5498
8/26/2016,22:38:25,4809,5498
8/26/2016,22:38:27,4804,5498
8/26/2016,22:38:29,4800,5497
8/26/2016,22:38:31,4801,5498
8/26/2016,22:38:33,4808,5497
8/26/2016,22:38:35,4816,5498
8/26/2016,22:38:37,4822,5498
8/26/2016,22:38:39,4829,5497
8/26/2016,22:38:41,4856,5498
8/26/2016,22:38:43,7460,5497
8/26/2016,22:38:45,10660,5498
8/26/2016,22:38:47,12736,5498
8/26/2016,22:38:49,14183,5498
8/26/2016,22:38:51,15121,5498
8/26/2016,22:38:53,15800,5498
8/26/2016,22:38:55,16277,5498
8/26/2016,22:38:57,16603,5498
8/26/2016,22:38:59,16850,5498
8/26/2016,22:39:1,17033,5498
8/26/2016,22:39:3,17154,5498
8/26/2016,22:39:5,17232,5498
8/26/2016,22:39:7,17281,5498
8/26/2016,22:39:9,17313,5498
8/26/2016,22:39:11,17336,5498
8/26/2016,22:39:13,17353,5498
8/26/2016,22:39:15,17365,5498
8/26/2016,22:39:17,17375,5498
8/26/2016,22:39:19,17382,5498
8/26/2016,22:39:21,17386,5498
8/26/2016,22:39:23,17389,5498
8/26/2016,22:39:25,17391,5498
8/26/2016,22:39:27,17390,5498
8/26/2016,22:39:29,17394,5498
8/26/2016,22:39:31,17396,5498
8/26/2016,22:39:33,17397,5497
8/26/2016,22:39:35,17398,5498
8/26/2016,22:39:37,17399,5498
8/26/2016,22:39:39,17399,5498
8/26/2016,22:39:41,17400,5498
8/26/2016,22:39:43,17401,5498
8/26/2016,22:39:45,17402,5498
8/26/2016,22:39:47,17402,5498
8/26/2016,22:39:49,17403,5498
8/26/2016,22:39:51,17404,5498
8/26/2016,22:39:53,17405,5498
8/26/2016,22:39:55,17406,5498
8/26/2016,22:39:57,17406,5498
8/26/2016,22:39:59,17407,5497
8/26/2016,22:40:1,17408,5498
8/26/2016,22:40:3,17408,5498
8/26/2016,22:40:5,17408,5498
8/26/2016,22:40:7,17408,5497
8/26/2016,22:40:9,17409,5498
8/26/2016,22:40:11,17410,5497
8/26/2016,22:40:13,17410,5498
8/26/2016,22:40:15,17411,5498
8/26/2016,22:40:17,17412,5498
8/26/2016,22:40:19,17412,5498
8/26/2016,22:40:21,17413,5498
8/26/2016,22:40:23,17414,5498
8/26/2016,22:40:25,17415,5498
8/26/2016,22:40:27,17416,5498
8/26/2016,22:40:29,17416,5497
8/26/2016,22:40:31,17416,5498
8/26/2016,22:40:33,17418,5497
8/26/2016,22:40:35,17419,5498
8/26/2016,22:40:37,17419,5498
8/26/2016,22:40:39,17419,5497
8/26/2016,22:40:41,17420,5498
8/26/2016,22:40:43,17420,5498
8/26/2016,22:40:45,17420,5498
8/26/2016,22:40:47,17421,5498
8/26/2016,22:40:49,17421,5498
8/26/2016,22:40:51,17421,5498
8/26/2016,22:40:53,17422,5497
8/26/2016,22:40:55,17423,5498
8/26/2016,22:40:57,17424,5498
8/26/2016,22:40:59,17425,5498
8/26/2016,22:41:1,17425,5498
8/26/2016,22:41:3,17426,5498
8/26/2016,22:41:5,17427,5498
8/26/2016,22:41:7,17428,5498
8/26/2016,22:41:9,17428,5498
8/26/2016,22:41:11,17430,5498
8/26/2016,22:41:13,17430,5498
8/26/2016,22:41:15,17430,5498
8/26/2016,22:41:17,17431,5498
8/26/2016,22:41:19,17432,5498
8/26/2016,22:41:21,17432,5498
8/26/2016,22:41:23,17432,5498
8/26/2016,22:41:25,17433,5498
8/26/2016,22:41:27,17434,5498
8/26/2016,22:41:29,17434,5497
8/26/2016,22:41:31,17435,5498
8/26/2016,22:41:33,17435,5498
8/26/2016,22:41:35,17436,5498
