,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime,id,dep_lat,dep_lon
33,1590064102.0,0.02777099609375,10.740649358480823,16345,15.508357106339872,13207,8521,0.0,0,6,,,,,,,,2020-05-21 12:28:22,2014,47.687,122.259
34,1590067702.0,0.02899169921875,10.28517895279839,16704,15.520012617706925,13200,8521,0.0,0,0,,,,,,,,2020-05-21 13:28:22,2014,47.687,122.259
35,1590071302.0,0.029296875,11.392766628215497,15846,15.516681765186036,13202,8521,0.0,0,1,,,,,,,,2020-05-21 14:28:22,2014,47.687,122.259
36,1590074902.0,0.03173828125,11.233857664298284,15966,15.491718375216749,13217,8521,0.0,0,3,81.0,,,,,,,2020-05-21 15:28:22,2014,47.687,122.259
37,1590077148.0,0.03265380859375,11.396756666816827,15843,15.483404297258062,13222,8521,0.0,0,1,81.0,47.687608,-122.259103,210520.0,16065021.0,51.0,13061.0,2020-05-21 16:05:48,2014,47.687,122.259
38,1590078688.0,0.0360107421875,13.817848362425991,14135,15.561696039425726,13175,8521,0.0,0,3,81.0,47.687928,-122.258735,210520.0,16315310.0,14.0,3589.0,2020-05-21 16:31:28,2014,47.687,122.259
39,1590079913.0,0.032958984375,14.61461115906559,13619,15.615180302163196,13143,8521,0.0,0,3,81.0,47.687968,-122.258767,210520.0,16521512.0,11.0,2821.0,2020-05-21 16:51:53,2014,47.687,122.259
40,1590081135.0,0.03326416015625,16.85701444551478,12277,15.720905071424397,13080,8521,0.0,0,2,81.0,47.687128,-122.260231,210520.0,17122534.0,0.0,4.0,2020-05-21 17:12:15,2014,47.687,122.259
41,1590084000.0,0.03173828125,17.948809896936837,11678,15.70240413587345,13091,8521,0.0,0,3,5.0,47.687776,-122.258879,210520.0,18003305.0,22.0,5637.0,2020-05-21 18:00:00,2014,47.687,122.259
42,1590094800.0,0.02777099609375,30.740164008569593,6649,16.423200180301365,12670,8520,0.0,0,5,5.0,47.687768,-122.258935,210520.0,21003305.0,22.0,5640.0,2020-05-21 21:00:00,2014,47.687,122.259
43,1590096033.0,0.02685546875,30.5391916690985,6706,16.423200180301365,12670,8520,0.0,0,0,81.0,47.687724,-122.258927,210520.0,21205809.0,14.0,3590.0,2020-05-21 21:20:33,2014,47.687,122.259
44,1590105600.0,0.02593994140625,16.83930021957707,12287,16.187455574328055,12806,8520,0.0,0,1,5.0,,,,,,,2020-05-22 00:00:00,2014,47.687,122.259
