,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,10800,0.07171630859375,18.611884245935414,11395,19.2811913397818,11445,8519,31.122383561643836,0,2,2020-07-01 01:00:00,2004,47.687,122.259
1,14400,0.07171630859375,18.627365651455534,11387,19.310920304132367,11431,8519,17.97024657534247,0,1,2020-07-01 02:00:00,2004,47.687,122.259
2,18000,0.0726318359375,18.586753071928683,11408,19.26846399459953,11451,8519,6.027287671232877,0,2,2020-07-01 03:00:00,2004,47.687,122.259
3,21600,0.07293701171875,18.59641508627152,11403,19.276947983032755,11447,8519,1.1347671232876713,0,2,2020-07-01 04:00:00,2004,47.687,122.259
4,25200,0.0726318359375,18.573234267643784,11415,19.266343564954354,11452,8519,-0.14882191780821918,0,2,2020-07-01 05:00:00,2004,47.687,122.259
5,28800,0.07354736328125,18.530807349984116,11437,19.230330940043075,11469,8519,-0.14882191780821918,0,3,2020-07-01 06:00:00,2004,47.687,122.259
6,32400,0.07171630859375,18.550080899197837,11427,19.22821458776707,11470,8519,-0.14882191780821918,0,2,2020-07-01 07:00:00,2004,47.687,122.259
7,36000,0.0726318359375,18.463499197728652,11472,19.19438367112747,11486,8519,-0.14882191780821918,0,2,2020-07-01 08:00:00,2004,47.687,122.259
8,39600,0.07232666015625,18.473100467179563,11467,19.139531418791307,11512,8519,-0.14882191780821918,0,2,2020-07-01 09:00:00,2004,47.687,122.259
9,43200,0.0726318359375,18.478863493984818,11464,19.150068131521095,11507,8519,-0.14882191780821918,0,1,2020-07-01 10:00:00,2004,47.687,122.259
10,46800,0.0726318359375,18.45390264350226,11477,19.126894763619077,11518,8519,-0.14882191780821918,0,2,2020-07-01 11:00:00,2004,47.687,122.259
11,50400,0.07232666015625,18.4347236631844,11487,19.122684337683324,11520,8519,-0.14882191780821918,0,2,2020-07-01 12:00:00,2004,47.687,122.259
12,54000,0.07171630859375,18.45390264350226,11477,19.12900031256345,11517,8519,-0.037205479452054796,0,2,2020-07-01 13:00:00,2004,47.687,122.259
13,57600,0.07110595703125,18.47117983586071,11468,19.141638312642783,11511,8519,3.3856986301369867,0,2,2020-07-01 14:00:00,2004,47.687,122.259
14,61200,0.07171630859375,18.47502128728314,11466,19.147960340193436,11508,8519,0.2046301369863014,0,1,2020-07-01 15:00:00,2004,47.687,122.259
15,64800,0.07171630859375,18.47502128728314,11466,19.150068131521095,11507,8519,21.80241095890411,0,2,2020-07-01 16:00:00,2004,47.687,122.259
16,68400,0.072021484375,18.50962837145812,11448,19.164828958644932,11500,8519,12.017369863013698,0,2,2020-07-01 17:00:00,2004,47.687,122.259
17,72000,0.0714111328125,18.579026896438165,11412,19.2599836372209,11455,8519,5.097150684931507,0,1,2020-07-01 18:00:00,2004,47.687,122.259
18,75600,0.0286865234375,19.767240561725828,10815,19.26210338630932,11454,8519,311.70750684931505,0,0,2020-07-01 19:00:00,2004,47.687,122.259
