,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,TTS,GPSLat,GPSLon,GPSDate,GPSTime,TTF,Max_Tilt,datetime,id,dep_lat,dep_lon
0,1592509334.0,0.02685546875,36.71429818846099,5245,20.411544972113347,10670,8510,0.0,0,4,119,,,,,,,2020-06-18 19:42:14,2017,47.687,122.259
1,1592510963.0,0.02655029296875,38.49630754200507,4878,20.287944193782664,10728,8510,0.0,0,4,119,,,,,,,2020-06-18 20:09:23,2017,47.687,122.259
2,1592512173.0,0.025634765625,37.52151881254582,5075,20.245500069508182,10748,8510,0.0,0,2,119,,,,,,,2020-06-18 20:29:33,2017,47.687,122.259
3,1592513555.0,0.025634765625,40.73856675856052,4457,20.911544282538898,10439,8510,0.0,0,2,119,,,,,,,2020-06-18 20:52:35,2017,47.687,122.259
4,1592515011.0,0.025634765625,42.21733378057894,4202,21.04348371671415,10379,8509,0.0,0,2,119,47.687764,-122.258887,180620.0,21173230.0,30.0,7686.0,2020-06-18 21:16:51,2017,47.687,122.259
5,1592524800.0,0.02410888671875,30.69419951079766,6738,21.09207995467699,10357,8511,0.0,0,7,5,47.687788,-122.258863,190620.0,3209.0,21.0,5385.0,2020-06-19 00:00:00,2017,47.687,122.259
6,1592526032.0,0.02349853515625,29.919715824942955,6963,21.149664123880655,10331,8511,0.0,0,5,119,47.687756,-122.258847,190620.0,205929.0,16.0,4105.0,2020-06-19 00:20:32,2017,47.687,122.259
7,1592527259.0,0.0238037109375,28.77285606968917,7312,21.04348371671415,10379,8511,0.0,0,8,119,47.68778,-122.258919,190620.0,412730.0,17.0,4361.0,2020-06-19 00:40:59,2017,47.687,122.259
8,1592528487.0,0.02349853515625,28.71858467992064,7329,21.032455526362526,10384,8511,0.0,0,1,119,47.687752,-122.258855,190620.0,1015329.0,15.0,3846.0,2020-06-19 01:01:27,2017,47.687,122.259
9,1592535600.0,0.023193359375,23.497207380910652,9195,20.902779135842934,10443,8512,0.0,0,3,5,47.687712,-122.257983,190620.0,3002600.0,15.0,3845.0,2020-06-19 03:00:00,2017,47.687,122.259
10,1592546400.0,0.02349853515625,17.369587198965178,12106,20.003183700282023,10863,8512,0.0,0,3,5,47.6873,-122.259311,190620.0,6003209.0,21.0,5380.0,2020-06-19 06:00:00,2017,47.687,122.259
