,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime,depth_m,id,dep_lat,dep_lon
0,10800,0.0994873046875,9.251297774677425,17682,9.572765531857726,17517,8545,-0.12993150684931506,0.216281481,5,2021-04-15 08:00:00,0.9880253985269544,2460,47.687823,-122.258931
1,14400,0.10009765625,9.299833632644152,17641,9.636527889559375,17464,8545,-0.12993150684931506,0.24974248799999998,5,2021-04-15 09:00:00,0.9940869040393897,2460,47.687823,-122.258931
2,18000,0.09979248046875,9.28679936553283,17652,9.66185283667238,17443,8545,-0.12993150684931506,0.237965709,5,2021-04-15 10:00:00,0.991056151283172,2460,47.687823,-122.258931
3,21600,0.10009765625,9.045547122657979,17857,9.493667967639624,17583,8545,-0.12993150684931506,0.274043778,5,2021-04-15 11:00:00,0.9940869040393897,2460,47.687823,-122.258931
4,25200,0.10040283203125,8.983681447831941,17910,9.397051759003602,17664,8545,-0.12993150684931506,0.208243362,5,2021-04-15 12:00:00,0.9971176567956073,2460,47.687823,-122.258931
5,28800,0.10040283203125,8.98717777479169,17907,9.289104000724592,17755,8545,-0.07424657534246576,0.22413266699999998,5,2021-04-15 13:00:00,0.9971176567956073,2460,47.687823,-122.258931
6,32400,0.1007080078125,8.916215036112078,17968,9.241852392836563,17795,8545,7.29472602739726,0.263762463,5,2021-04-15 14:00:00,1.000148409551825,2460,47.687823,-122.258931
7,36000,0.101318359375,8.889528943294124,17991,9.250112740956808,17788,8545,12.362054794520548,0.17571702,5,2021-04-15 15:00:00,1.0062099150642603,2460,47.687823,-122.258931
8,39600,0.101318359375,8.879097007494352,18000,9.198251560406845,17832,8545,14.44095890410959,0.170482896,5,2021-04-15 16:00:00,1.0062099150642603,2460,47.687823,-122.258931
9,43200,0.030517578125,9.206426283006124,17720,8.90283327858242,18085,8544,37.56876712328767,0.144125343,8,2021-04-15 17:00:00,0.3030752756217651,2460,47.687823,-122.258931
